bnr,plz,land,auswdat,htyp,gbj,baukl,wfl,keller,eart,verbkw,gas,dbj,daein,danu,dawd,awkon,zrwd,fhdi,aussen,awbj,awmat,awdi,awwd,awwddi,awwdla,fasschad,febj,rah,kefe,vergl,feverkw,eisodm,ewisodm,hzart
B216653,29308,2,04.06.2007,1,1979,6,160,1,1,25000,0,1979,3,2,3,2,0,0,3,1979,2,24,0,0,0,3,1979,2,2,3,272,0,17.69,1
B216654,27419,2,04.06.2007,1,1968,4,370,2,1,30000,0,1968,1,1,1,2,8,0,3,1968,7,24,0,0,0,3,2000,2,0,3,270,0,17.55,1
B216655,86987,2,04.06.2007,1,1988,7,200,1,1,40000,0,1988,1,2,3,1,0,0,1,1988,4,24,0,0,0,3,1988,1,3,2,267,0,16.1,1
B216656,95448,2,04.06.2007,2,1975,5,190,1,1,16000,1,1975,2,1,1,1,0,0,1,1975,8,24,0,0,0,3,1975,1,1,2,281,0,16.95,1
B216661,97273,2,04.06.2007,1,1993,7,120,1,3,36000,1,1993,3,2,3,1,0,0,1,1993,4,30,0,0,0,1,1993,1,1,2,262,0,17.58,1
B216662,96103,2,04.06.2007,1,1991,7,240,1,2,33201,1,1991,1,2,2,1,0,0,1,1991,5,36,0,0,0,3,1991,1,1,3,288,0,18.72,1
B216664,97297,2,04.06.2007,1,1988,7,110,1,1,21000,0,1988,2,2,3,1,0,0,1,1988,6,36,0,0,0,3,1988,1,1,2,262,0,15.82,1
B216665,97274,2,04.06.2007,1,1973,5,305,1,1,40000,1,1973,2,1,1,1,0,0,1,1973,6,36,0,0,0,3,2004,2,2,3,281,0,18.25,1
B216667,87677,2,04.06.2007,1,1983,6,116,1,1,20000,0,1983,2,1,2,1,0,0,1,1983,6,30,0,0,0,3,1983,1,2,3,292,0,18.95,1
B216669,90427,2,04.06.2007,2,1974,5,110,1,2,34930,1,1974,3,1,2,2,0,0,3,1974,6,24,0,0,0,3,1974,1,1,3,286,0,18.58,1
B216671,67661,2,05.06.2007,1,1972,5,310,1,3,54000,1,1990,2,1,1,1,0,0,1,1990,6,30,1,4,1,2,1972,1,1,1,515,35.91,55.15,1
B216673,66903,2,05.06.2007,2,1960,4,0,0,0,0,0,1960,2,1,1,1,0,0,1,1960,6,30,0,0,0,2,1990,1,0,2,245,0,14.8,2
B216675,1156,1,05.06.2007,1,1982,6,105,1,1,14000,0,1982,3,2,2,1,0,0,1,1982,4,36,0,0,0,2,1992,2,2,3,288,0,18.72,1
B216682,4509,1,06.06.2007,1,1938,2,140,2,5,0,0,1970,2,1,2,1,0,0,1,1978,2,38,0,0,0,2,1996,3,0,3,270,0,12.12,1
B216686,76307,2,06.06.2007,1,1770,1,216,1,1,43310,0,1770,1,2,3,1,0,0,1,1770,6,30,0,0,0,3,1770,1,1,3,259,0,16.85,1
B216690,91757,2,06.06.2007,1,1971,5,145,1,1,18000,0,1971,3,3,3,1,0,0,1,1992,6,24,0,0,0,3,1971,1,3,3,259,0,16.85,1
